fr_orig,dms_orig,dms_dest,fr_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,tons_2017,tons_2020,tons_2022,tons_2023,tons_2025,tons_2030,tons_2035,tons_2040,tons_2045,tons_2050,value_2017,value_2020,value_2022,value_2023,value_2025,value_2030,value_2035,value_2040,value_2045,value_2050,tons_2020_low,tons_2022_low,tons_2023_low,tons_2025_low,tons_2030_low,tons_2035_low,tons_2040_low,tons_2045_low,tons_2050_low,tons_2020_high,tons_2022_high,tons_2023_high,tons_2025_high,tons_2030_high,tons_2035_high,tons_2040_high,tons_2045_high,tons_2050_high,value_2020_low,value_2022_low,value_2023_low,value_2025_low,value_2030_low,value_2035_low,value_2040_low,value_2045_low,value_2050_low,value_2020_high,value_2022_high,value_2023_high,value_2025_high,value_2030_high,value_2035_high,value_2040_high,value_2045_high,value_2050_high
,299,179,,,1,,1,1,206.653198,208.12784,220.75981,227.36047,328.81534,416.36749,482.43381,559.29535,653.67468,748.30658,414.871948,417.8324,443.192043,456.443372,660.121697,835.889279,968.52241,1122.827777,1312.301437,1502.282138,208.12784,219.893696,225.086868,325.527191,412.203827,477.609467,553.702393,647.889616,727.318193,208.12784,224.535848,232.947036,337.818341,458.004242,492.082489,570.481262,666.748169,763.272705,417.8324,441.453251,451.878938,653.52048,827.530386,958.837186,1111.599499,1300.687479,1460.146362,417.8324,450.772722,467.658819,678.195908,919.478207,987.892858,1145.284332,1338.547466,1532.327781
,299,190,,,1,,1,1,353.958618,386.67151,410.13992,422.40298,526.7439,583.43787,607.9989,647.63702,711.81091,765.89111,637.454163,696.36774,738.632676,760.717573,948.628094,1050.72988,1094.962548,1166.347973,1281.920559,1379.315132,386.67151,406.038513,418.178955,521.47644,577.603516,570.949882,599.053626,647.19399,683.704457,386.67151,416.856438,432.834,539.956233,641.781677,620.158875,660.589722,726.047119,781.208923,696.36774,731.246349,753.110397,939.141813,1040.222581,1028.239913,1078.852746,1165.5501,1231.30284,696.36774,750.728639,779.503086,972.422568,1155.802868,1116.861799,1189.674932,1307.55897,1406.901435
,299,201,,,1,,1,1,21.574692,22.857447,24.244741,24.969652,29.039976,33.923256,38.434692,44.514999,50.97654,56.732121,29.390509,31.137964,33.027831,34.015354,39.560225,46.21256,52.358345,60.641352,69.4437,77.284343,22.857447,24.002295,24.719955,28.749577,33.584023,38.050346,44.223237,49.747874,54.297092,22.857447,24.781534,25.840055,30.143945,37.315582,39.203384,45.4053,51.996071,57.86676,31.137964,32.697553,33.6752,39.164623,45.750435,51.834762,60.243893,67.769929,73.967181,31.137964,33.759087,35.201075,41.064127,50.833816,53.405512,61.854179,70.832574,78.83003
,299,202,,,1,,1,1,21.454836,22.699781,24.077507,24.797419,27.5284,31.769985,35.165203,39.556435,45.068134,49.675694,29.227234,30.923183,32.800015,33.780727,37.501056,43.279231,47.904427,53.88646,61.394872,67.671602,22.699781,23.836733,24.549444,27.253117,31.452286,35.109202,38.604306,42.949991,46.19699,22.699781,24.495129,25.438636,28.422004,34.946983,35.868507,40.347561,45.969498,50.669205,30.923183,32.472014,33.44292,37.126045,42.846438,47.828138,52.589406,58.509393,62.932675,30.923183,33.368927,34.654236,38.718383,47.607154,48.862515,54.96419,62.622769,69.025034
,299,209,,,1,,1,1,144.606949,149.81693,158.90984,163.66119,199.55371,232.50714,261.51044,299.54248,340.12241,375.17191,196.993393,204.090776,216.477756,222.950378,271.845599,316.736996,356.247253,408.057082,463.337809,511.084614,149.81693,157.32074,162.024582,197.558182,230.182068,260.561242,290.845998,321.417213,344.432609,149.81693,161.384139,167.450622,205.652225,255.757858,266.740631,305.533325,346.924835,382.675323,204.090776,214.312978,220.720874,269.127143,313.569626,354.954195,396.210144,437.856327,469.209459,204.090776,219.848419,228.112594,280.153408,348.410696,363.372198,416.218223,472.604565,521.306306
,299,212,,,1,,1,1,0.286238,0.298275,0.316379,0.325838,0.435013,0.511405,0.579005,0.670446,0.786686,0.89157,2.404187,2.505291,2.657345,2.736799,3.653785,4.295423,4.863212,5.631248,6.607576,7.488523,0.298275,0.315391,0.32258,0.430663,0.506291,0.578357,0.660978,0.766648,0.859789,0.298275,0.322296,0.332463,0.444993,0.562545,0.590585,0.683855,0.802419,0.909401,2.505291,2.649047,2.709431,3.617248,4.252468,4.85777,5.551723,6.439274,7.22159,2.505291,2.707044,2.792444,3.73761,4.724965,4.960476,5.743873,6.739728,7.638293
,299,219,,,1,,1,1,0.003326,0.00342,0.003627,0.003736,0.00501,0.005975,0.006876,0.007943,0.009216,0.010447,0.177129,0.182111,0.193164,0.198939,0.266808,0.31819,0.366206,0.423004,0.490812,0.556341,0.00342,0.003621,0.003698,0.00496,0.005915,0.006808,0.007863,0.009124,0.010342,0.00342,0.00369,0.003811,0.00512,0.006572,0.007014,0.008102,0.0094,0.010655,0.182111,0.192819,0.19695,0.26414,0.315008,0.362544,0.418774,0.485904,0.550777,0.182111,0.196514,0.202936,0.272682,0.350009,0.37353,0.431464,0.500628,0.567468
,299,251,,,1,,1,1,0.048408,0.050648,0.053722,0.055328,0.077061,0.087527,0.095302,0.106764,0.117128,0.127426,0.01083,0.011331,0.012019,0.012378,0.01724,0.019582,0.021321,0.023886,0.026204,0.028508,0.050648,0.053487,0.054924,0.077003,0.086652,0.094349,0.106534,0.115275,0.123125,0.050648,0.055294,0.058274,0.08035,0.09628,0.097208,0.1089,0.119471,0.129974,0.011331,0.011966,0.012288,0.017227,0.019386,0.021108,0.023834,0.02579,0.027546,0.011331,0.012371,0.013037,0.017976,0.02154,0.021748,0.024363,0.026728,0.029078
,299,280,,,1,,1,1,0.010896,0.010953,0.011845,0.012317,0.01332,0.016198,0.019698,0.023954,0.029129,0.035423,0.194059,0.195079,0.210957,0.219374,0.237229,0.288486,0.350819,0.426619,0.518797,0.630893,0.010953,0.011726,0.012194,0.013187,0.016036,0.019501,0.023714,0.028838,0.035069,0.010953,0.012043,0.012594,0.013534,0.017818,0.020092,0.024433,0.029712,0.036132,0.195079,0.208847,0.21718,0.234857,0.285601,0.347311,0.422353,0.513609,0.624584,0.195079,0.214489,0.224297,0.241046,0.317335,0.357835,0.435151,0.529173,0.64351
,299,291,,,1,,1,1,22.469772,24.046503,25.505966,26.268587,30.214573,35.489079,40.402157,47.088333,54.299393,60.890087,30.609848,32.757778,34.745957,35.784851,41.160341,48.34563,55.038559,64.146921,73.970316,82.948607,24.046503,25.489472,26.005901,29.912428,35.13419,40.231877,46.241323,52.525521,57.918464,24.046503,25.99115,26.95372,30.902386,39.037987,41.210197,48.030098,55.38538,62.107887,32.757778,34.723488,35.427003,40.748737,47.862174,54.806592,62.993067,71.553828,78.90046,32.757778,35.406907,36.718186,42.097326,53.180193,56.13933,65.42986,75.449722,84.607579
,299,292,,,1,,1,1,16.959005,18.530081,19.654509,20.242353,23.875935,28.921436,33.887814,40.706562,48.71542,56.504646,49.965813,54.594625,57.907494,59.639443,70.344955,85.210367,99.842656,119.932532,143.528791,166.477957,18.530081,19.457964,20.03993,23.637175,28.632223,33.454574,39.592083,46.588171,52.980872,18.530081,19.992729,20.781842,24.417326,31.813581,34.565571,41.520691,49.689728,57.634739,54.594625,57.328419,59.043049,69.641506,84.358263,98.566215,116.648976,137.261343,156.095966,54.594625,58.903982,61.228923,71.940041,93.731404,101.83951,122.331183,146.399367,169.807517
